library,model,n,failures,failure_rate
high_dependency_linear_20,elastic_net_c01_r025,10000,0,0.0
high_dependency_linear_20,elastic_net_c1_r025,10000,0,0.0
high_dependency_linear_20,elastic_net_c1_r075,10000,0,0.0
high_dependency_linear_20,elastic_net_logreg,10000,0,0.0
high_dependency_linear_20,linear_svm_c01,10000,0,0.0
high_dependency_linear_20,linear_svm_c1,10000,0,0.0
high_dependency_linear_20,logreg_l1_c003,10000,0,0.0
high_dependency_linear_20,logreg_l1_c01,10000,0,0.0
high_dependency_linear_20,logreg_l1_c03,10000,0,0.0
high_dependency_linear_20,logreg_l1_c1,10000,0,0.0
high_dependency_linear_20,logreg_l1_c3,10000,0,0.0
high_dependency_linear_20,logreg_l2_c001,10000,0,0.0
high_dependency_linear_20,logreg_l2_c003,10000,0,0.0
high_dependency_linear_20,logreg_l2_c01,10000,0,0.0
high_dependency_linear_20,logreg_l2_c03,10000,0,0.0
high_dependency_linear_20,logreg_l2_c1,10000,0,0.0
high_dependency_linear_20,logreg_l2_c10,10000,0,0.0
high_dependency_linear_20,logreg_l2_c100,10000,0,0.0
high_dependency_linear_20,logreg_l2_c3,10000,0,0.0
high_dependency_linear_20,logreg_l2_c30,10000,0,0.0
mixed_realistic_20,adaboost_stump,10000,0,0.0
mixed_realistic_20,decision_tree,10000,0,0.0
mixed_realistic_20,elastic_net_c1_r05,10000,0,0.0
mixed_realistic_20,extra_trees,10000,0,0.0
mixed_realistic_20,gaussian_nb,10000,0,0.0
mixed_realistic_20,gradient_boosting,10000,0,0.0
mixed_realistic_20,hist_gb_shallow,10000,0,0.0
mixed_realistic_20,hist_gradient_boosting,10000,0,0.0
mixed_realistic_20,knn_15_distance,10000,0,0.0
mixed_realistic_20,linear_discriminant_shrinkage,10000,0,0.0
mixed_realistic_20,linear_svm,10000,0,0.0
mixed_realistic_20,logistic_regression,10000,0,0.0
mixed_realistic_20,logreg_l1_c01,10000,0,0.0
mixed_realistic_20,logreg_l2_c01,10000,0,0.0
mixed_realistic_20,random_forest,10000,0,0.0
mixed_realistic_20,random_forest_shallow,10000,0,0.0
mixed_realistic_20,random_forest_tuned,10000,0,0.0
mixed_realistic_20,rbf_svm,10000,0,0.0
mixed_realistic_20,rbf_svm_c03,10000,0,0.0
mixed_realistic_20,rbf_svm_c3,10000,0,0.0
