library,target_auc,pool_size,method,n,rejection_rate,mean_p_value,mcse
high_dependency_linear_20,0.6,7,bonferroni_empirical,2000,0.4245,0.3380665933406659,0.011052143457266558
high_dependency_linear_20,0.6,7,naive_empirical,2000,0.651,0.0985964903509649,0.010658306619721539
high_dependency_linear_20,0.6,7,pipeline_empirical,2000,0.5605,0.14189021097890211,0.011098192420389907
high_dependency_linear_20,0.6,20,bonferroni_empirical,2000,0.31,0.46103889611038895,0.010341663309158734
high_dependency_linear_20,0.6,20,naive_empirical,2000,0.66,0.10993390660933906,0.010592450141492288
high_dependency_linear_20,0.6,20,pipeline_empirical,2000,0.555,0.15044115588441156,0.011112492969626573
high_dependency_linear_20,0.65,7,bonferroni_empirical,2000,0.9265,0.036063293670632934,0.005835141386461857
high_dependency_linear_20,0.65,7,naive_empirical,2000,0.9665,0.00884961503849615,0.004023540107914917
high_dependency_linear_20,0.65,7,pipeline_empirical,2000,0.9525,0.013407709229077093,0.00475624589355933
high_dependency_linear_20,0.65,20,bonferroni_empirical,2000,0.8835,0.057032496750324964,0.007173832657652395
high_dependency_linear_20,0.65,20,naive_empirical,2000,0.968,0.009913008699130086,0.003935479640399632
high_dependency_linear_20,0.65,20,pipeline_empirical,2000,0.9525,0.014359914008599138,0.00475624589355933
mixed_realistic_20,0.6,7,bonferroni_empirical,2000,0.253,0.39155129487051293,0.009720879589831364
mixed_realistic_20,0.6,7,naive_empirical,2000,0.569,0.08307714228577141,0.01107336895438782
mixed_realistic_20,0.6,7,pipeline_empirical,2000,0.3,0.23403014698530145,0.010246950765959597
mixed_realistic_20,0.6,20,bonferroni_empirical,2000,0.382,0.34553729627037294,0.01086452944218018
mixed_realistic_20,0.6,20,naive_empirical,2000,0.786,0.03775907409259074,0.009170714257897256
mixed_realistic_20,0.6,20,pipeline_empirical,2000,0.478,0.17181976802319768,0.0111695120752878
mixed_realistic_20,0.65,7,bonferroni_empirical,2000,0.7155,0.09436601339866013,0.010088601241004622
mixed_realistic_20,0.65,7,naive_empirical,2000,0.9165,0.016752974702529743,0.006185780063985464
mixed_realistic_20,0.65,7,pipeline_empirical,2000,0.77,0.0549022597740226,0.009410100955887773
mixed_realistic_20,0.65,20,bonferroni_empirical,2000,0.909,0.03646880311968803,0.0064311352030570765
mixed_realistic_20,0.65,20,naive_empirical,2000,0.985,0.0028122687731226875,0.002717995584985378
mixed_realistic_20,0.65,20,pipeline_empirical,2000,0.9395,0.0159964503549645,0.005331029450303197
