Feature selection,Selection events,Target oracle AUROC,Method,N,"Rejection rate, %","Monte Carlo 95% interval, %",Mean selection AUROC,Mean test AUROC,Mean optimism
LASSO,20,0.6,Pipeline max-statistic,2000,15.25,13.67–16.83,0.5761,0.526,0.0501
LASSO,20,0.6,Bonferroni empirical,2000,11.25,9.87–12.63,0.5761,0.526,0.0501
LASSO,20,0.6,Naive empirical,2000,39.5,37.36–41.64,0.5761,0.526,0.0501
LASSO,20,0.7,Pipeline max-statistic,2000,74.0,72.08–75.92,0.6819,0.6493,0.0326
LASSO,20,0.7,Bonferroni empirical,2000,67.7,65.65–69.75,0.6819,0.6493,0.0326
LASSO,20,0.7,Naive empirical,2000,91.25,90.01–92.49,0.6819,0.6493,0.0326
LASSO,100,0.6,Pipeline max-statistic,2000,36.85,34.74–38.96,0.5485,0.5294,0.0191
LASSO,100,0.6,Bonferroni empirical,2000,29.55,27.55–31.55,0.5485,0.5294,0.0191
LASSO,100,0.6,Naive empirical,2000,58.4,56.24–60.56,0.5485,0.5294,0.0191
LASSO,100,0.7,Pipeline max-statistic,2000,99.25,98.87–99.63,0.6679,0.6635,0.0043
LASSO,100,0.7,Bonferroni empirical,2000,98.8,98.32–99.28,0.6679,0.6635,0.0043
LASSO,100,0.7,Naive empirical,2000,99.65,99.39–99.91,0.6679,0.6635,0.0043
None,20,0.6,Pipeline max-statistic,2000,12.0,10.58–13.42,0.5901,0.5268,0.0633
None,20,0.6,Bonferroni empirical,2000,9.1,7.84–10.36,0.5901,0.5268,0.0633
None,20,0.6,Naive empirical,2000,34.65,32.56–36.74,0.5901,0.5268,0.0633
None,20,0.7,Pipeline max-statistic,2000,52.9,50.71–55.09,0.6606,0.6145,0.046
None,20,0.7,Bonferroni empirical,2000,45.95,43.77–48.13,0.6606,0.6145,0.046
None,20,0.7,Naive empirical,2000,78.8,77.01–80.59,0.6606,0.6145,0.046
None,100,0.6,Pipeline max-statistic,2000,32.7,30.64–34.76,0.5568,0.5303,0.0266
None,100,0.6,Bonferroni empirical,2000,27.8,25.84–29.76,0.5568,0.5303,0.0266
None,100,0.6,Naive empirical,2000,59.6,57.45–61.75,0.5568,0.5303,0.0266
None,100,0.7,Pipeline max-statistic,2000,98.4,97.85–98.95,0.6397,0.6274,0.0124
None,100,0.7,Bonferroni empirical,2000,97.65,96.99–98.31,0.6397,0.6274,0.0124
None,100,0.7,Naive empirical,2000,99.6,99.32–99.88,0.6397,0.6274,0.0124
